dihard2019_ivectors_5_0,9.37,11.59,0.7434,21.99,25.95,0.997,15.68,18.77,0.8702
dihard2019_ivectors_5_1,8.09,9.891,0.6376,19.8,24.58,0.974,13.945,17.2355,0.8058
dihard2019_ivectors_5_2,8.26,9.652,0.7627,20.34,25,0.9833,14.3,17.326,0.873
dihard2019_ivectors_10_0,7.98,8.797,0.6485,13.59,14.8,0.9845,10.785,11.7985,0.8165
dihard2019_ivectors_10_1,8.1,9.17,0.7136,13.89,15.73,0.9313,10.995,12.45,0.82245
dihard2019_ivectors_10_2,7.65,8.6,0.7174,16.31,18.28,0.9416,11.98,13.44,0.8295
dihard2019_ivectors_15_0,7.95,8.396,0.6675,12.45,13.91,0.9203,10.2,11.153,0.7939
dihard2019_ivectors_15_1,7.92,8.534,0.6432,13.65,15.57,0.8875,10.785,12.052,0.76535
dihard2019_ivectors_15_2,7.68,8.153,0.6818,13.34,14.57,0.898,10.51,11.3615,0.7899
dihard2019_ivectors_20_0,7.36,7.545,0.6375,12.34,13.07,0.8378,9.85,10.3075,0.73765
dihard2019_ivectors_20_1,7.37,7.695,0.6411,12.67,13.57,0.863,10.02,10.6325,0.75205
dihard2019_ivectors_20_2,7.7,8.403,0.6891,11.36,12.33,0.8216,9.53,10.3665,0.75535
dihard2019_xvectors_5_0,14.03,17.78,0.9427,22.59,32.99,0.9994,18.31,25.385,0.97105
dihard2019_xvectors_5_1,9,12.73,0.8669,22.68,28.19,0.9979,15.84,20.46,0.9324
dihard2019_xvectors_5_2,12.97,17.08,0.9946,20.88,26.53,0.9981,16.925,21.805,0.99635
dihard2019_xvectors_10_0,9,12.22,0.9427,16.77,21.38,0.9996,12.885,16.8,0.97115
dihard2019_xvectors_10_1,8.94,12.31,0.9821,19.23,23.07,0.9992,14.085,17.69,0.99065
dihard2019_xvectors_10_2,9.82,12.14,0.9465,19.45,24.08,1,14.635,18.11,0.97325
dihard2019_xvectors_15_0,7.65,11.85,0.9398,15.9,20.18,0.9998,11.775,16.015,0.9698
dihard2019_xvectors_15_1,8.79,11.74,0.9876,15.49,19.5,0.9987,12.14,15.62,0.99315
dihard2019_xvectors_15_2,7.93,11.25,0.8936,16.76,22.03,0.9994,12.345,16.64,0.9465
dihard2019_xvectors_20_0,7.34,9.747,0.8087,15.13,18.26,0.9819,11.235,14.0035,0.8953
dihard2019_xvectors_20_1,8.12,10.1,0.8331,11.67,14.76,0.955,9.895,12.43,0.89405
dihard2019_xvectors_20_2,8,10.97,0.8701,12.84,15.54,0.9792,10.42,13.255,0.92465
